arxiv_id	status	pdf_path	cited_by
1510.07825	pdf-only	pdf/1510/1510.07825v1.pdf	Graph Properties in the Adjacency Matrix Model
1511.01937	pdf-only	pdf/1511/1511.01937v2.pdf	Bernstein-Vazirani
1511.02306	pdf-only	pdf/1511/1511.02306v2.pdf	Linear Systems
1511.04385	pdf-only	pdf/1511/1511.04385v3.pdf	Factoring
1512.02900	pdf-only	pdf/1512/1512.02900v1.pdf	Machine Learning
1512.03416	pdf-only	pdf/1512/1512.03416v1.pdf	Simulating Quantum Hamiltonian Dynamics
1512.03929	pdf-only	pdf/1512/1512.03929v1.pdf	Machine Learning
1512.04965	pdf-only	pdf/1512/1512.04965v1.pdf	Quantum Cryptanalysis
1512.05903	pdf-only	pdf/1512/1512.05903v2.pdf	Linear Systems; Solving Linear Differential Equations
1601.01744	pdf-only	pdf/1601/1601.01744v1.pdf	Quantum Approximate Optimization
1601.02036	pdf-only	pdf/1601/1601.02036v1.pdf	Machine Learning
1601.04212	pdf-only	pdf/1601/1601.04212v2.pdf	Searching
1601.07823	pdf-only	pdf/1601/1601.07823v2.pdf	Machine Learning
1602.04799	pdf-only	pdf/1602/1602.04799v1.pdf	Machine Learning
1602.07674	pdf-only	pdf/1602/1602.07674v2.pdf	Quantum Approximate Optimization
1603.02940	pdf-only	pdf/1603/1603.02940v1.pdf	Preparing Eigenstates and Thermal States; Semidefinite Programming
1603.06985	pdf-only	pdf/1603/1603.06985v1.pdf	Preparing Eigenstates and Thermal States
1603.07856	pdf-only	pdf/1603/1603.07856v3.pdf	Quantum Cryptanalysis
1603.08675	pdf-only	pdf/1603/1603.08675v3.pdf	Linear Systems; Machine Learning
1603.09383	pdf-only	pdf/1603/1603.09383v3.pdf	Quantum Cryptanalysis
1604.01384	pdf-only	pdf/1604/1604.01384v2.pdf	Linear Systems
1605.03590	pdf-only	pdf/1605/1605.03590v2.pdf	Simulating Quantum Hamiltonian Dynamics
1605.05370	pdf-only	pdf/1605/1605.05370v1.pdf	Quantum Approximate Optimization
1605.07541	pdf-only	pdf/1605/1605.07541v2.pdf	Machine Learning
1606.02685	pdf-only	pdf/1606/1606.02685v2.pdf	Simulating Quantum Hamiltonian Dynamics
1606.03443	pdf-only	pdf/1606/1606.03443v3.pdf	Simulating Quantum Hamiltonian Dynamics
1606.06301	pdf-only	pdf/1606/1606.06301v2.pdf	Preparing Eigenstates and Thermal States
1607.00932	pdf-only	pdf/1607/1607.00932v3.pdf	Machine Learning
1607.03236	pdf-only	pdf/1607/1607.03236v3.pdf	Non-Abelian Hidden Subgroup
1607.06473	pdf-only	pdf/1607/1607.06473v3.pdf	Quantum Approximate Optimization
1608.02005	pdf-only	pdf/1608/1608.02005v1.pdf	Non-Abelian Hidden Subgroup; Hidden Shift
1608.02184	pdf-only	pdf/1608/1608.02184v3.pdf	Linear Systems
1609.02542	pdf-only	pdf/1609/1609.02542v4.pdf	Machine Learning
1609.05537	pdf-only	pdf/1609/1609.05537v5.pdf	Semidefinite Programming
1609.07786	pdf-only	pdf/1609/1609.07786v2.pdf	Graph Properties in the Adjacency Matrix Model
1610.00581	pdf-only	pdf/1610/1610.00581v1.pdf	Graph Properties in the Adjacency Matrix Model; Graph Properties in the Adjacency List Model
1610.06546	pdf-only	pdf/1610/1610.06546v3.pdf	Simulating Quantum Hamiltonian Dynamics
1611.05484	pdf-only	pdf/1611/1611.05484v3.pdf	Simulating Quantum Hamiltonian Dynamics
1611.05543	pdf-only	pdf/1611/1611.05543v3.pdf	Simulating Quantum Hamiltonian Dynamics
1611.08104	pdf-only	pdf/1611/1611.08104v1.pdf	Machine Learning
1611.09347	pdf-only	pdf/1611/1611.09347v2.pdf	Machine Learning
1612.05695	pdf-only	pdf/1612/1612.05695v3.pdf	Machine Learning
1612.08958	pdf-only	pdf/1612/1612.08958v1.pdf	Searching
1612.09512	pdf-only	pdf/1612/1612.09512v3.pdf	Simulating Quantum Hamiltonian Dynamics
1701.03684	pdf-only	pdf/1701/1701.03684v2.pdf	Solving Linear Differential Equations
1701.03990	pdf-only	pdf/1701/1701.03990v2.pdf	Polynomial interpolation
1701.06806	pdf-only	pdf/1701/1701.06806v3.pdf	Machine Learning
1704.04992	pdf-only	pdf/1704/1704.04992v5.pdf	Machine Learning
1704.06174	pdf-only	pdf/1704/1704.06174v2.pdf	Linear Systems
1704.06774	pdf-only	pdf/1704/1704.06774v3.pdf	Polynomial Quantum Speedups for Constraint Satisfaction Problems
1705.01843	pdf-only	pdf/1705/1705.01843v4.pdf	Semidefinite Programming
1706.06752	pdf-only	pdf/1706/1706.06752v3.pdf	Discrete-log
1710.02581	pdf-only	pdf/1710/1710.02581v3.pdf	Semidefinite Programming
1711.00465	pdf-only	pdf/1711/1711.00465v3.pdf	Gradient Estimation and Learning Polynomials
1711.02616	pdf-only	pdf/1711/1711.02616v1.pdf	Primality Proving
1711.04006	pdf-only	pdf/1711/1711.04006v3.pdf	Simulating Quantum Hamiltonian Dynamics
1711.05394	pdf-only	pdf/1711/1711.05394v4.pdf	Simulating Quantum Hamiltonian Dynamics; Linear Systems; Solving Linear Differential Equations
1711.10460	pdf-only	pdf/1711/1711.10460v3.pdf	Preparing Eigenstates and Thermal States
1711.11025	pdf-only	pdf/1711/1711.11025v3.pdf	Preparing Eigenstates and Thermal States
1711.11336	pdf-only	pdf/1711/1711.11336v3.pdf	Collision Finding and Element Distinctness
1712.00446	pdf-only	pdf/1712/1712.00446v3.pdf	Simulating Quantum Hamiltonian Dynamics
1712.03193	pdf-only	pdf/1712/1712.03193v2.pdf	Preparing Eigenstates and Thermal States
1712.06239	pdf-only	pdf/1712/1712.06239v3.pdf	Quantum Cryptanalysis
1801.03922	pdf-only	pdf/1801/1801.03922v4.pdf	Simulating Quantum Hamiltonian Dynamics
1802.03856	pdf-only	pdf/1802/1802.03856v2.pdf	Quantum Cryptanalysis
1802.10124	pdf-only	pdf/1802/1802.10124v3.pdf	Searching; Polynomial Quantum Speedups for Constraint Satisfaction Problems
1805.00109	pdf-only	pdf/1805/1805.00109v2.pdf	Solving Nonlinear Differential Equations
1805.00582	pdf-only	pdf/1805/1805.00582v1.pdf	Simulating Quantum Hamiltonian Dynamics
1805.00675	pdf-only	pdf/1805/1805.00675v2.pdf	Simulating Quantum Hamiltonian Dynamics
1806.01838	pdf-only	pdf/1806/1806.01838v1.pdf	Searching; Preparing Eigenstates and Thermal States; Linear Systems; Machine Learning
1806.09660	pdf-only	pdf/1806/1806.09660v1.pdf	Hidden Shift
1806.11463	pdf-only	pdf/1806/1806.11463v3.pdf	Machine Learning
1807.04271	pdf-only	pdf/1807/1807.04271v3.pdf	Linear Systems; Machine Learning
1807.05209	pdf-only	pdf/1807/1807.05209v1.pdf	Quantum Dynamic Programming for path-in-the-hypercube
1809.00643	pdf-only	pdf/1809/1809.00643v4.pdf	Convex Optimization
1809.01731	pdf-only	pdf/1809/1809.01731v3.pdf	Convex Optimization
1809.02622	pdf-only	pdf/1809/1809.02622v1.pdf	Solving Linear Differential Equations
1811.00414	pdf-only	pdf/1811/1811.00414v3.pdf	Linear Systems; Machine Learning
1901.00564	pdf-only	pdf/1901/1901.00564v2.pdf	Simulating Quantum Hamiltonian Dynamics
1901.00961	pdf-only	pdf/1901/1901.00961v1.pdf	Solving Linear Differential Equations
1901.07653	pdf-only	pdf/1901/1901.07653v3.pdf	Preparing Eigenstates and Thermal States
1902.07890	pdf-only	pdf/1902/1902.07890v3.pdf	Adiabatic Algorithms
1904.03180	pdf-only	pdf/1904/1904.03180v1.pdf	Approximating Nash Equilibria
1905.09749	pdf-only	pdf/1905/1905.09749v3.pdf	Factoring
1906.07115	pdf-only	pdf/1906/1906.07115v2.pdf	Simulating Quantum Hamiltonian Dynamics
1907.09418	pdf-only	pdf/1907/1907.09418v2.pdf	Solving Nonlinear Differential Equations
1907.12724	pdf-only	pdf/1907/1907.12724v2.pdf	Tensor Principal Component Analysis
1908.03903	pdf-only	pdf/1908/1908.03903v3.pdf	Convex Optimization
1908.04171	pdf-only	pdf/1908/1908.04171v3.pdf	Searching
1909.04613	pdf-only	pdf/1909/1909.04613v3.pdf	Polynomial Quantum Speedups for Constraint Satisfaction Problems
1909.05500	pdf-only	pdf/1909/1909.05500v3.pdf	Adiabatic Algorithms
1909.13528	pdf-only	pdf/1909/1909.13528v1.pdf	Gradient Estimation and Learning Polynomials
1910.06151	pdf-only	pdf/1910/1910.06151v4.pdf	Semidefinite Programming
1910.09756	pdf-only	pdf/1910/1910.09756v1.pdf	Solving Linear Differential Equations
2002.07868	pdf-only	pdf/2002/2002.07868v2.pdf	Solving Linear Differential Equations
2004.06516	pdf-only	pdf/2004/2004.06516v2.pdf	Solving Linear Differential Equations
2004.11086	pdf-only	pdf/2004/2004.11086v1.pdf	Gradient Estimation and Learning Polynomials
2005.03791	pdf-only	pdf/2005/2005.03791v2.pdf	Adiabatic Algorithms
2006.02660	pdf-only	pdf/2006/2006.02660v2.pdf	Simulating Quantum Hamiltonian Dynamics
2008.07133	pdf-only	pdf/2008/2008.07133v3.pdf	Preparing Eigenstates and Thermal States
2010.01801	pdf-only	pdf/2010/2010.01801v1.pdf	Convex Optimization
2010.02174	pdf-only	pdf/2010/2010.02174v2.pdf	Machine Learning
2011.02165	pdf-only	pdf/2011/2011.02165v2.pdf	Solving Nonlinear Differential Equations
2011.03185	pdf-only	pdf/2011/2011.03185v3.pdf	Solving Nonlinear Differential Equations
2011.06475	pdf-only	pdf/2011/2011.06475v2.pdf	Estimating Determinants and Other Spectral Sums
2011.06492	pdf-only	pdf/2011/2011.06492v1.pdf	Solving Nonlinear Differential Equations
2011.06571	pdf-only	pdf/2011/2011.06571v2.pdf	Solving Nonlinear Differential Equations
2012.06283	pdf-only	pdf/2012/2012.06283v2.pdf	Solving Nonlinear Differential Equations
2101.04023	pdf-only	pdf/2101/2101.04023v4.pdf	Solving Nonlinear Differential Equations
2102.12655	pdf-only	pdf/2102/2102.12655v1.pdf	Simulating Quantum Hamiltonian Dynamics
2105.05608	pdf-only	pdf/2105/2105.05608v1.pdf	Quantum Cryptanalysis
2105.11105	not-in-raw		Factoring
2107.00011	pdf-only	pdf/2107/2107.00011v2.pdf	Knot Invariants
2108.11015	pdf-only	pdf/2108/2108.11015v2.pdf	Lattice Problems by Filtering
2109.14214	pdf-only	pdf/2109/2109.14214v1.pdf	Simulating Quantum Hamiltonian Dynamics
2110.06942	pdf-only	pdf/2110/2110.06942v2.pdf	Simulating Quantum Hamiltonian Dynamics
2110.13086	pdf-only	pdf/2110/2110.13086v2.pdf	Convex Optimization
2110.14206	pdf-only	pdf/2110/2110.14206v3.pdf	Quantum Approximate Optimization
2111.00405	pdf-only	pdf/2111/2111.00405v2.pdf	Quantum Cryptanalysis
2111.08152	pdf-only	pdf/2111/2111.08152v1.pdf	Adiabatic Algorithms; Linear Systems
2111.09787	pdf-only	pdf/2111/2111.09787v2.pdf	Searching
2201.13450	pdf-only	pdf/2201/2201.13450v1.pdf	Quantum Cryptanalysis
2202.01054	pdf-only	pdf/2202/2202.01054v5.pdf	Solving Nonlinear Differential Equations
2202.12965	pdf-only	pdf/2202/2202.12965v1.pdf	Machine Learning
2203.08882	pdf-only	pdf/2203/2203.08882v2.pdf	Preparing Eigenstates and Thermal States
2204.02063	pdf-only	pdf/2204/2204.02063v3.pdf	Optimization by Decoded Quantum Interferometry
2205.01141	pdf-only	pdf/2205/2205.01141v2.pdf	Solving Nonlinear Differential Equations
2205.14023	pdf-only	pdf/2205/2205.14023v1.pdf	Collision Finding and Element Distinctness
2206.11772	pdf-only	pdf/2206/2206.11772v4.pdf	Double-bracket quantum algorithms
2206.14736	pdf-only	pdf/2206/2206.14736v3.pdf	Simulating Quantum Hamiltonian Dynamics
2207.08643	pdf-only	pdf/2207/2207.08643v2.pdf	Partition Functions
2208.06909	pdf-only	pdf/2208/2208.06909v1.pdf	Quantum Approximate Optimization
2208.07544	pdf-only	pdf/2208/2208.07544v1.pdf	Searching
2208.13492	pdf-only	pdf/2208/2208.13492v4.pdf	Collision Finding and Element Distinctness
2209.05048	pdf-only	pdf/2209/2209.05048v3.pdf	Simulating Quantum Hamiltonian Dynamics
2209.12887	pdf-only	pdf/2209/2209.12887v3.pdf	Machine Learning
2209.13581	pdf-only	pdf/2209/2209.13581v3.pdf	Machine Learning
2210.06539	pdf-only	pdf/2210/2210.06539v1.pdf	Probabilistic Sampling
2212.01513	pdf-only	pdf/2212/2212.01513v2.pdf	Searching; Polynomial Quantum Speedups for Constraint Satisfaction Problems
2212.14781	pdf-only	pdf/2212/2212.14781v3.pdf	Linear Systems
2301.03763	pdf-only	pdf/2301/2301.03763v1.pdf	Approximating Nash Equilibria
2302.03394	pdf-only	pdf/2302/2302.03394v1.pdf	Preparing Eigenstates and Thermal States
2302.11454	pdf-only	pdf/2302/2302.11454v3.pdf	Matrix Elements and Multiplicity Coefficients of Group Representations
2303.01029	pdf-only	pdf/2303/2303.01029v2.pdf	Simulating Quantum Hamiltonian Dynamics
2303.01471	pdf-only	pdf/2303/2303.01471v1.pdf	Adiabatic Algorithms
2303.13012	pdf-only	pdf/2303/2303.13012v3.pdf	Solving Linear Differential Equations
2303.18224	pdf-only	pdf/2303/2303.18224v2.pdf	Preparing Eigenstates and Thermal States
2308.02342	pdf-only	pdf/2308/2308.02342v2.pdf	Quantum Approximate Optimization
2308.07956	pdf-only	pdf/2308/2308.07956v1.pdf	Double-bracket quantum algorithms
